STATE,PVH,PERNOTMVIT ,PERMVIT,PERSONS,DAY,MONTH,DAYofWEEK,MINUTE,NHS,RURorURB ,FUNCSYS,ROADOWNER,ROUTE,SPJUR,HARMEV,MANCOLL,RELJCT1,RELJCT2,TYPINT,WRKZONE,RELROAD,LGTCOND,WEATHER1,WEATHER2,WEATHER,SCHBUS,CF1,CF2,CF3,FATALS,Drunk Driver Involved,HOUR
1,0,1,1,1,6,2,3,8,0,2,4,1,3,0,8,0,0,1,1,0,1,3,2,0,2,0,0,0,0,1,0,20
1,0,0,1,1,22,2,5,45,0,1,5,1,4,0,42,0,0,1,1,0,4,1,1,0,1,0,0,0,0,1,1,14
1,0,0,2,2,23,2,6,45,0,2,4,4,6,0,12,2,0,1,1,0,1,2,10,0,10,0,0,0,0,1,1,21
1,0,0,3,3,27,2,3,50,0,2,7,4,6,0,42,0,0,1,1,0,4,1,10,0,10,0,0,0,0,1,1,16
1,0,0,1,1,1,3,5,50,0,2,3,1,3,0,30,0,0,1,1,0,4,1,1,0,1,0,0,0,0,1,1,5
1,0,0,1,1,4,3,1,45,0,1,5,1,2,0,42,0,0,1,1,0,4,2,1,0,1,0,0,0,0,1,1,4
1,0,0,3,3,6,3,3,30,0,1,5,2,4,0,12,6,0,2,2,0,1,1,10,0,10,0,0,0,0,1,0,13
1,0,0,5,5,8,3,5,50,0,1,4,1,3,0,12,2,0,2,3,0,1,1,1,0,1,0,0,0,0,1,1,5
1,0,1,1,1,9,3,6,21,0,2,5,4,6,0,8,0,0,1,1,0,1,4,1,0,1,0,0,0,0,1,0,6
1,0,0,3,3,10,3,7,54,0,2,4,4,6,0,12,98,0,3,3,0,1,3,10,0,10,0,0,0,0,1,0,17
1,0,1,1,1,13,3,3,47,0,2,4,1,2,0,8,0,0,1,1,0,1,3,1,0,1,0,0,0,0,1,0,19
1,0,0,2,2,15,3,5,8,1,2,3,1,3,0,55,6,0,1,1,0,4,1,1,0,1,0,0,0,0,1,0,17
1,0,0,2,2,15,3,5,25,0,1,4,1,3,0,12,2,0,1,1,0,1,1,1,0,1,0,0,0,0,2,1,7
1,0,0,1,1,15,3,5,28,0,2,5,2,4,0,58,0,0,1,1,0,4,1,1,0,1,0,0,0,0,1,0,6
