STATE,PVH,PERMVIT,PERSONS,DAY,MONTH,DAYofWEEK,NHS,Rur_Urb,FUNC_SYS,RD_OWNER,ROUTE,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,WEATHER1,CF1,CF2,CF3,FATALS,MinutesOfDay,Drunk Driver Involved
1,0,2,2,1,4,1,0,2,4,4,6,0,0,6,1,0,1,1,0,0,0,2,2,1
1,0,3,3,1,4,1,0,1,6,1,4,0,0,1,1,0,1,1,0,0,0,1,4,0
1,0,3,3,6,4,6,0,2,4,1,3,3,0,2,3,0,1,10,23,0,0,1,2,0
1,0,2,2,6,4,6,0,1,5,2,4,0,0,1,1,0,4,10,0,0,0,2,4,0
1,0,2,2,6,4,6,0,1,7,2,4,0,0,1,1,0,4,10,20,0,0,1,5,1
1,0,1,1,6,4,6,0,1,4,1,3,0,0,1,1,0,4,1,0,0,0,1,1,1
1,0,3,3,6,4,6,1,1,3,1,3,0,0,1,1,0,4,2,0,0,0,1,1,0
1,0,3,3,8,4,1,1,1,3,1,3,2,0,1,1,0,1,1,0,0,0,1,4,0
1,0,2,2,9,4,2,0,1,4,1,3,2,0,1,1,0,1,1,0,0,0,1,3,0
1,0,2,2,9,4,2,0,1,5,1,3,4,0,8,1,0,1,1,0,0,0,1,5,0
1,0,1,1,9,4,2,0,2,3,4,6,0,0,1,1,0,1,1,0,0,0,1,1,0
1,0,1,1,10,4,3,0,1,5,2,4,0,0,1,1,0,4,10,0,0,0,1,4,0
1,0,3,3,11,4,4,1,2,3,1,2,0,0,1,1,0,1,1,14,0,0,1,3,0
1,0,1,1,12,4,5,0,1,5,4,4,0,0,1,1,0,4,1,0,0,0,1,3,0
1,0,4,4,12,4,5,0,1,4,1,3,2,0,1,1,0,1,1,0,0,0,2,3,0
1,0,3,3,13,4,6,1,1,3,1,3,1,0,1,1,0,1,1,0,0,0,1,1,0
1,0,1,1,13,4,6,0,1,4,1,2,0,0,1,1,0,4,1,0,0,0,1,5,0
1,0,3,3,13,4,6,1,2,3,1,3,2,0,1,1,0,1,1,0,0,0,1,1,0
1,0,1,1,14,4,7,0,1,5,2,4,0,0,1,1,0,4,2,0,0,0,1,1,1
1,0,3,3,14,4,7,0,2,4,1,3,0,0,1,1,0,3,10,0,0,0,1,3,1
1,0,1,1,14,4,7,1,1,3,1,3,0,0,1,1,0,4,2,0,0,0,1,5,0
1,0,1,1,14,4,7,0,1,7,2,4,0,0,1,1,0,4,10,0,0,0,1,5,1
1,0,2,2,15,4,1,0,1,4,1,3,0,0,1,1,0,1,2,0,0,0,1,2,0
1,0,1,1,15,4,1,0,1,4,1,3,0,0,1,1,0,4,2,0,0,0,1,2,0
1,0,2,2,16,4,2,1,1,3,1,3,3,0,2,2,0,1,1,0,0,0,1,2,0
1,0,2,2,16,4,2,0,1,5,1,3,2,0,1,1,0,2,10,0,0,0,1,3,0
1,0,1,1,16,4,2,0,1,4,1,3,0,0,1,1,0,4,1,0,0,0,1,1,0
1,0,3,3,16,4,2,1,1,3,1,2,3,0,4,1,0,1,1,0,0,0,1,1,1
1,0,1,1,19,4,5,1,2,3,1,3,0,0,1,1,0,4,1,0,0,0,1,3,0
1,0,2,2,20,4,6,0,1,4,1,2,0,0,1,1,0,4,1,0,0,0,1,2,0
1,0,1,1,21,4,7,1,1,3,1,3,0,0,1,1,0,3,1,0,0,0,1,1,1
1,0,4,4,22,4,1,1,1,3,1,2,2,0,1,1,0,1,2,0,0,0,1,3,0
1,0,2,2,22,4,1,0,1,4,1,3,3,0,1,1,0,1,2,0,0,0,1,3,0
1,0,7,7,17,2,7,1,1,3,1,2,3,0,2,2,0,1,1,0,0,0,2,3,0
1,0,3,3,29,4,1,0,2,4,1,3,0,0,3,2,0,8,1,0,0,0,3,1,1
1,0,3,3,12,4,5,0,2,4,1,3,3,0,2,2,0,1,1,0,0,0,1,2,0
1,0,3,3,18,4,4,1,1,3,1,2,2,0,1,1,0,1,1,0,0,0,1,4,0
1,0,4,4,20,4,6,0,1,7,2,4,3,0,2,3,0,1,1,0,0,0,1,4,0
1,0,2,2,21,4,7,1,1,3,1,2,1,0,1,1,0,1,1,0,0,0,1,2,0
1,0,1,1,24,4,3,0,1,7,2,4,0,0,1,1,0,4,10,0,0,0,1,3,1
1,0,1,1,24,4,3,0,1,5,2,4,0,0,1,1,0,4,10,0,0,0,1,2,0
1,0,4,4,27,4,6,1,1,3,1,2,2,0,1,1,0,1,1,0,0,0,2,1,1
