STATE,PVH,PERNOTMVIT ,PERMVIT,PERSONS,DAY,MONTH,DAYofWEEK,NHS,Urban(1)orRural(2),FUNC_SYS,RD_OWNER,ROUTE,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,CF1,CF2,CF3,FATALS,MinutesOfDay,Drunk Driver Involved
1,0,0,2,2,13,3,3,0,1,5,1,2,0,12,2,0,1,1,0,1,1,1,0,0,0,1,1060,1
1,0,1,1,1,6,2,3,0,2,4,1,3,0,8,0,0,1,1,0,1,3,2,0,0,0,1,1208,0
1,0,0,1,1,22,2,5,0,1,5,1,4,0,42,0,0,1,1,0,4,1,1,0,0,0,1,885,1
1,0,0,2,2,23,2,6,0,2,4,4,6,0,12,2,0,1,1,0,1,2,10,0,0,0,1,1305,1
1,0,0,3,3,27,2,3,0,2,7,4,6,0,42,0,0,1,1,0,4,1,10,0,0,0,1,1010,1
1,0,0,1,1,1,3,5,0,2,3,1,3,0,30,0,0,1,1,0,4,1,1,0,0,0,1,350,1
1,0,0,1,1,4,3,1,0,1,5,1,2,0,42,0,0,1,1,0,4,2,1,0,0,0,1,285,1
1,0,0,3,3,6,3,3,0,1,5,2,4,0,12,3,0,2,2,0,1,1,10,0,0,0,1,810,0
1,0,0,5,5,8,3,5,0,1,4,1,3,0,12,2,0,2,3,0,1,1,1,0,0,0,1,350,1
1,0,1,1,1,9,3,6,0,2,5,4,6,0,8,0,0,1,1,0,1,4,1,0,0,0,1,381,0
1,0,0,3,3,10,3,7,0,2,4,4,6,0,12,9,0,3,3,0,1,3,10,0,0,0,1,1074,0
1,0,1,1,1,13,3,3,0,2,4,1,2,0,8,0,0,1,1,0,1,3,1,0,0,0,1,1187,0
1,0,0,2,2,15,3,5,1,2,3,1,3,0,55,3,0,1,1,0,4,1,1,0,0,0,1,1028,0
1,0,0,2,2,15,3,5,0,1,4,1,3,0,12,2,0,1,1,0,1,1,1,0,0,0,2,445,1
1,0,0,1,1,15,3,5,0,2,5,2,4,0,58,0,0,1,1,0,4,1,1,0,0,0,1,388,0
1,0,0,1,1,16,3,6,0,2,5,2,4,0,35,0,0,1,1,0,4,2,1,0,0,0,1,305,1
1,0,0,1,1,16,3,6,0,1,4,1,3,0,59,0,0,1,1,0,4,1,1,0,0,0,1,940,1
1,0,1,2,2,17,3,7,1,1,3,1,3,0,8,0,0,2,2,0,1,2,10,0,0,0,1,1220,0
1,0,0,2,2,17,3,7,0,1,4,1,3,0,12,3,0,2,3,0,1,1,1,0,0,0,1,930,0
1,0,0,1,1,17,3,7,0,1,5,2,4,0,42,0,0,1,1,0,4,1,1,0,0,0,1,476,1
1,0,0,2,2,17,3,7,1,1,3,1,2,0,35,0,0,1,1,0,4,1,10,0,0,0,1,536,0
1,0,0,1,1,18,3,1,1,2,3,1,2,0,34,0,0,1,1,0,4,1,1,0,0,0,1,420,0
1,0,0,6,6,18,3,1,0,1,4,1,3,0,12,3,0,2,2,0,1,1,1,0,0,0,1,625,0
1,0,0,1,1,18,3,1,0,2,4,1,3,0,35,0,0,1,1,0,4,1,10,20,0,0,1,980,0
1,0,0,1,1,20,3,3,0,1,5,2,4,0,1,0,0,1,1,0,4,1,10,0,0,0,1,941,0
1,0,0,1,1,21,3,4,1,2,3,1,2,0,32,0,0,1,1,0,4,1,10,0,0,0,1,520,0
1,0,0,1,1,21,3,4,0,1,6,2,4,0,38,0,0,1,1,0,4,1,1,0,0,0,1,615,0
1,0,0,2,2,21,3,4,0,1,4,1,3,0,12,2,0,1,1,0,1,1,1,0,0,0,1,880,0
1,0,0,4,4,22,3,5,1,2,3,1,3,0,12,3,0,2,2,0,1,1,1,0,0,0,1,737,0
1,0,0,1,1,23,3,6,0,1,5,1,2,0,42,0,0,1,1,0,4,2,1,0,0,0,1,1,1
1,0,0,1,1,23,3,6,0,1,5,1,3,0,59,0,0,1,1,0,4,1,10,0,0,0,1,960,0
1,0,0,6,6,24,3,7,0,2,4,4,6,0,12,3,0,2,2,0,1,1,1,0,0,0,3,990,0
1,0,1,1,1,25,3,1,0,2,4,2,4,0,9,0,0,1,1,0,2,1,1,0,0,0,1,740,1
1,0,0,1,1,25,3,1,0,1,5,2,4,0,42,0,0,1,1,0,4,2,1,0,0,0,1,1165,1
1,0,0,2,2,26,3,2,1,1,3,1,2,0,58,0,0,2,3,0,1,2,10,0,0,0,1,1252,0
1,0,1,2,2,26,3,2,0,2,4,4,6,0,8,0,0,3,3,0,1,2,10,0,0,0,1,365,0
1,0,0,2,2,27,3,3,0,2,4,4,6,0,12,2,0,1,1,0,1,2,10,0,0,0,2,1249,0
1,0,0,1,1,27,3,3,0,1,5,1,3,0,42,0,0,1,1,0,4,1,1,0,0,0,1,780,0
1,0,0,1,1,27,3,3,1,1,3,1,3,0,42,0,0,1,1,0,4,2,10,0,0,0,1,1186,0
1,0,0,2,2,28,3,4,1,1,3,1,2,0,12,3,0,2,3,0,1,1,1,0,0,0,1,415,0
1,0,0,1,1,28,3,4,0,2,7,2,4,0,53,0,0,1,1,0,4,2,10,0,0,0,1,1430,0
1,0,0,3,3,28,3,4,1,2,3,1,2,0,12,3,0,8,1,0,1,1,1,0,0,0,1,878,0
1,0,0,1,1,29,3,5,0,1,7,2,4,0,42,0,0,1,1,0,4,1,2,0,0,0,1,630,0
1,0,0,3,3,29,3,5,1,2,3,1,3,0,12,4,0,2,3,0,1,3,2,0,0,0,1,1335,1
1,0,0,2,2,30,3,6,0,2,4,4,6,0,12,3,0,2,2,0,1,3,1,0,0,0,1,1190,0
1,1,1,1,2,30,3,6,0,2,4,4,6,0,14,0,0,1,1,0,5,1,1,0,0,0,1,883,0
1,0,1,2,2,31,3,7,0,2,7,4,6,0,8,0,0,3,3,0,5,1,1,0,0,0,1,885,1
1,0,0,3,3,1,4,1,0,1,5,1,3,0,12,3,0,8,1,0,1,1,1,0,0,0,1,780,0
1,0,0,1,1,2,4,2,0,1,7,4,6,0,38,0,0,1,1,0,4,2,1,0,0,0,1,196,0
1,0,0,1,1,8,4,1,1,1,3,1,2,0,1,0,0,1,1,0,1,2,1,0,0,0,1,24,1
1,0,0,1,1,5,4,5,1,2,1,1,1,0,34,0,0,1,1,1,4,1,1,0,0,0,1,710,0
1,0,0,5,5,8,4,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,908,0
1,0,0,3,3,11,4,4,1,1,1,1,1,0,12,3,0,1,1,0,1,2,1,0,0,0,2,8,0
1,0,0,1,1,14,4,7,1,2,1,1,1,0,24,0,0,1,1,0,4,2,10,0,0,0,1,305,0
1,0,0,5,5,14,4,7,1,2,1,1,1,0,12,1,0,1,1,0,1,3,2,19,0,0,1,1305,0
1,0,0,2,2,15,4,1,1,2,1,1,1,0,42,0,0,1,1,1,4,4,10,0,0,0,2,324,0
1,0,0,1,1,16,4,2,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,709,0
1,0,0,1,1,20,4,6,1,2,1,1,1,0,34,0,1,5,1,1,3,1,1,0,0,0,1,704,0
1,0,0,5,5,21,4,7,1,2,1,1,1,0,12,1,0,1,1,0,1,2,10,0,0,0,1,1266,0
1,0,0,3,3,11,1,5,0,2,5,4,6,0,12,2,0,1,1,0,1,1,2,0,0,0,1,524,0
1,0,0,3,3,30,3,6,0,1,7,2,4,0,12,2,0,1,1,0,1,2,1,0,0,0,1,1163,1
1,0,0,1,1,30,3,6,0,1,5,2,4,0,1,0,0,1,1,0,4,2,1,0,0,0,1,1170,0
1,0,0,2,2,31,3,7,0,2,5,4,6,0,12,3,0,2,2,0,1,3,1,0,0,0,1,1263,0
1,0,0,4,4,31,3,7,0,1,5,1,3,0,34,0,0,1,1,0,4,1,1,0,0,0,1,1089,0
1,0,0,2,2,1,4,1,0,2,4,4,6,0,10,0,0,6,1,0,1,1,1,0,0,0,2,388,1
1,0,1,3,3,1,4,1,0,1,6,1,4,0,8,0,0,1,1,0,1,1,1,0,0,0,1,1020,0
1,0,0,3,3,6,4,6,0,2,4,1,3,0,12,3,0,2,3,0,1,2,10,23,0,0,1,320,0
1,0,0,2,2,6,4,6,0,1,5,2,4,0,34,0,0,1,1,0,4,1,10,0,0,0,2,946,0
1,0,0,2,2,6,4,6,0,1,7,2,4,0,35,0,0,1,1,0,4,3,10,20,0,0,1,1233,1
1,0,0,1,1,6,4,6,0,1,4,1,3,0,1,0,0,1,1,0,4,2,1,0,0,0,1,1320,1
1,0,0,3,3,6,4,6,1,1,3,1,3,0,32,0,0,1,1,0,4,2,2,0,0,0,1,1343,0
1,0,0,3,3,8,4,1,1,1,3,1,3,0,12,2,0,1,1,0,1,1,1,0,0,0,1,1096,0
1,0,0,2,2,9,4,2,0,1,4,1,3,0,12,2,0,1,1,0,1,1,1,0,0,0,1,850,0
1,0,0,2,2,9,4,2,0,1,5,1,3,0,12,4,0,8,1,0,1,2,1,0,0,0,1,1175,0
1,0,1,1,1,9,4,2,0,2,3,4,6,0,8,0,0,1,1,0,1,3,1,0,0,0,1,1390,0
1,0,0,1,1,10,4,3,0,1,5,2,4,0,34,0,0,1,1,0,4,1,10,0,0,0,1,955,0
1,0,0,3,3,11,4,4,1,2,3,1,2,0,1,0,0,1,1,0,1,1,1,14,0,0,1,660,0
1,0,0,1,1,12,4,5,0,1,5,4,4,0,24,0,0,1,1,0,4,1,1,0,0,0,1,885,0
